Book,Author(s),Original language,First published,Approximate sales,Genre
Dune,Frank Herbert,English,1965,20 million[121],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[122],Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million[123],"Social Science, Anthropology, Psychology"
Kokoro (こゝろ),Natsume Sōseki,Japanese,1914,20 million (as of 1994)[124],Novel
Where the Crawdads Sing,Delia Owens,English,2018,18 million[125],"Coming-of-age, murder mystery"
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,18 million[126],"Sentimental, epistolary novel"
Matilda,Roald Dahl,English,1988,17 million[127],Children's literature
The Book Thief,Markus Zusak,English,2005,16 million[128],Young adult fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[129],
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[130],Children's literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[131],Children's literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[132],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[133],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[134],
Guess How Much I Love You,Sam McBratney,English,1994,15 million[135],
Shōgun,James Clavell,English,1975,15 million[136],
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[137],
The Pillars of the Earth,Ken Follett,English,1989,15 million[138],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[139],
The Grapes of Wrath,John Steinbeck,English,1939,15 million[140],
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[141],
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[142],
Becoming,Michelle Obama,English,2018,14 million[143],
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[144],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[145],
God's Little Acre,Erskine Caldwell,English,1933,14 million[146],
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[147],
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[148],
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[67],
Life After Life,Raymond Moody,English,1975,13 million[149],
Momo,Michael Ende,German,1973,13 million[150],Children's literature
Peyton Place,Grace Metalious,English,1956,12.1 million[151],
The Giver,Lois Lowry,English,1993,12 million[152][153],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[154],
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[155],
The Plague (La Peste),Albert Camus,French,1947,12 million[156],
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million[157],
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[158],
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during the 20th century)[159],
The Prophet,Kahlil Gibran,English,1923,11 million[160],
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[161],
The Exorcist,William Peter Blatty,English,1971,11 million[162],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[163],"Children's literature, picture book"
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[133],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[164],
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[165],
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[166],"Children's literature, picture book"
Diana: Her True Story,Andrew Morton,English,1992,10 million[167],
The Help,Kathryn Stockett,English,2009,10 million[168],
Catch-22,Joseph Heller,English,1961,10 million[169],
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[170],
Eye of the Needle,Ken Follett,English,1978,10 million[171],
The Lovely Bones,Alice Sebold,English,2002,10 million[172],
Wild Swans,Jung Chang,English,1992,10 million[173],
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[174],
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[175],
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million[176],
The Total Woman,Marabel Morgan,English,1974,10 million[177],
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million[178],
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[179],
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[180],
The Dukan Diet,Pierre Dukan,French,2000,10 million[181],
The Joy of Sex,Alex Comfort,English,1972,10 million[182],
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[183],
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[184],
Life of Pi,Yann Martel,English,2001,10 million[185],
The Front Runner,Patricia Nell Warren,English,1974,10 million[186],
The Goal,Eliyahu M. Goldratt,English,1984,10 million[187],
Fahrenheit 451,Ray Bradbury,English,1953,10 million[188],
Angela's Ashes,Frank McCourt,English,1996,10 million[189],
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million[190],
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[191],
